F1,Danceability,Energy,Loudness,Liveness,Valence,Views,Likes,Stream
97,0.798,0.629,-6.857,0.324,0.4,458724349,2094991,363930118
98,0.732,0.716,-6.968,0.73,0.666,1021503328,6398855,869795408
99,0.872,0.789,-6.047,0.125,0.646,43226385,242932,18501860
100,0.932,0.457,-9.62,0.0414,0.884,1300732161,9523245,1302677366
101,0.608,0.756,-2.675,0.187,0.55,545655,7314,103974637
102,0.776,0.711,-9.03,0.234,0.901,905692299,6656468,826832314
103,0.853,0.981,-3.947,0.306,0.595,84652754,672624,526030670
104,0.808,0.535,-12.521,0.158,0.848,301845823,2269865,346137424
105,0.878,0.821,-9.875,0.183,0.947,349102050,2254295,389644450
106,0.859,0.905,-5.539,0.322,0.731,978680025,8312571,256361972
107,0.831,0.921,-2.383,0.305,0.795,504057332,3085718,224254298
108,0.877,0.854,-4.523,0.144,0.54,436325398,2515830,349629692
109,0.775,0.719,-6.212,0.0662,0.712,343328494,2121502,280500270
110,0.778,0.547,-7.273,0.132,0.441,1518313784,6420621,995490565
111,0.668,0.802,-4.005,0.163,0.769,10941241,216805,34361626
112,0.7,0.709,-5.006,0.029,0.624,237232986,1026177,502735560
113,0.674,0.628,-7.079,0.0944,0.552,534286492,2554163,476783121
114,0.534,0.87,-3.078,0.241,0.462,432775314,2187945,471672024
115,0.491,0.588,-6.177,0.0906,0.193,339837769,1819636,662431775
116,0.473,0.592,-6.859,0.131,0.292,80575503,948515,346097538
117,0.636,0.888,-3.889,0.147,0.25,3309247,146755,2790105
118,0.688,0.734,-4.569,0.0756,0.46,168736063,611231,219363750
119,0.457,0.823,-4.76,0.108,0.578,149977268,938718,170002964
120,0.637,0.678,-3.798,0.156,0.254,719661717,5550929,908006704
121,0.908,0.669,-2.827,0.237,0.662,1590485349,11469490,1457351902
122,0.949,0.661,-4.244,0.0454,0.76,777507160,6489755,1232567233
123,0.802,0.755,-3.138,0.295,0.58,139257221,950561,466021760
124,0.548,0.847,-3.237,0.0816,0.1,1931315,18992,1548871694
125,0.78,0.768,-4.325,0.518,0.507,623027280,5152714,799979337
126,0.749,0.925,-5.034,0.52,0.641,2539156924,12696568,1115478746
127,0.808,0.745,-5.26,0.292,0.829,547039623,9287567,1072650382
128,0.668,0.824,-4.164,0.0426,0.185,454015875,2471743,357737050
129,0.855,0.954,-1.19,0.205,0.668,1727241246,11425215,789922926
130,0.647,0.822,-4.662,0.0908,0.962,128396799,718507,1143833476
131,0.851,0.819,-5.173,0.0658,0.903,3658044,88925,42006396
132,0.893,0.745,-3.105,0.0943,0.872,673495248,4097957,981287133
133,0.877,0.56,-3.751,0.0839,0.154,20392451,560857,104603335
134,0.81,0.733,-6.338,0.288,0.9,26641550,315368,99934776
135,0.679,0.516,-6.371,0.0965,0.716,121559320,1081676,198332490
136,0.859,0.563,-6.635,0.0685,0.412,35793144,431472,219355874
137,0.827,0.571,-7.949,0.166,0.62,11408003,477302,99577335
138,0.89,0.46,-8.155,0.11,0.677,2672481,63065,105629259
139,0.894,0.404,-5.913,0.0801,0.759,59095041,433116,114177468
140,0.351,0.296,-10.109,0.095,0.12,1721382178,24425840,2110573779
141,0.912,0.774,-4.673,0.101,0.632,25212794,418647,203066841
