F1,Artist,Url_spotify,Track,Url_youtube,Views,official_video,Spotify_Available,Stream
33,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Whiskey In The Jar,https://www.youtube.com/watch?v=wsrvmNtWU4E,107553434,False,1,327681785
34,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,The Unforgiven (Remastered),https://www.youtube.com/watch?v=Ckom3gf57Yw,426125708,False,1,0
35,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,One (Remastered),https://www.youtube.com/watch?v=oTS5cPTqFWM,524,False,1,0
36,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,For Whom The Bell Tolls (Remastered),https://www.youtube.com/watch?v=B_HSa1dEL9s,23666398,True,1,0
37,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Lux Æterna,https://www.youtube.com/watch?v=_u-7rWKnVVo,14937918,True,1,20061385
38,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Sad But True (Remastered),https://www.youtube.com/watch?v=A8MO7fkZc5o,72737062,True,1,0
39,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Screaming Suicide,https://www.youtube.com/watch?v=ZDyDpdFZHBo,4317758,True,1,3905429
40,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Yellow,https://www.youtube.com/watch?v=yKNxeF4KMsY,832532409,True,1,1483622308
41,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Viva La Vida,https://www.youtube.com/watch?v=dvgZkm1xWPE,789581468,True,1,1325575712
42,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Sparks,https://www.youtube.com/watch?v=1aokooixKIo,73201019,True,1,475353044
43,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Something Just Like This,https://www.youtube.com/watch?v=FM7MFYoylVs,2118018686,True,1,2030825694
44,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,The Scientist,https://www.youtube.com/watch?v=RB-RcX5DS5A,1082588109,True,1,1465980600
45,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,A Sky Full of Stars,https://www.youtube.com/watch?v=VPRjCeoBqrI,786404613,True,1,1021782403
46,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Paradise,https://www.youtube.com/watch?v=1G4isv_Fylg,1665814269,True,1,927288329
47,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Hymn for the Weekend,https://www.youtube.com/watch?v=YykjpeuMNEk,1828242112,True,1,1049654852
48,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,My Universe,https://www.youtube.com/watch?v=3YqPKLZF_WU,254655970,True,1,883224238
